Nome,Descrição,URL,Stars,Forks,Criado Em,Última Atualização,Linguagem,Issues Totais,Issues Fechadas,PRs,Releases
"project-based-learning","Curated list of project-based tutorials",https://github.com/practical-tutorials/project-based-learning,239137,31301,2017-04-12 05:07:46,2025-08-13 02:15:11,"",208,79,468,0
"react","The library for web and native user interfaces.",https://github.com/facebook/react,238066,49108,2013-05-24 16:15:54,2025-08-13 02:05:24,"JavaScript",13981,13180,17902,105
"vue","This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",https://github.com/vuejs/vue,209254,33736,2013-07-29 03:24:51,2025-08-13 02:00:47,"TypeScript",10028,9673,2583,249
"Python","All Algorithms implemented in Python",https://github.com/TheAlgorithms/Python,203980,47297,2016-07-16 09:44:01,2025-08-13 02:06:13,"Python",1585,1511,10687,0
"linux","Linux kernel source tree",https://github.com/torvalds/linux,199550,57284,2011-09-04 22:48:12,2025-08-13 02:06:01,"C",0,0,1207,0
"javascript-algorithms","📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings",https://github.com/trekhleb/javascript-algorithms,192982,30841,2018-03-24 07:47:04,2025-08-13 02:00:38,"JavaScript",366,229,787,0
"tensorflow","An Open Source Machine Learning Framework for Everyone",https://github.com/tensorflow/tensorflow,191153,74769,2015-11-07 01:19:20,2025-08-13 02:04:37,"C++",40714,39828,56070,217
"computer-science","🎓 Path to a free self-taught education in Computer Science!",https://github.com/ossu/computer-science,190260,23736,2014-05-04 00:18:39,2025-08-13 02:05:14,"HTML",651,637,483,0
"You-Dont-Know-JS","A book series (2 published editions) on the JS language.",https://github.com/getify/You-Dont-Know-JS,182926,33656,2013-11-16 02:37:24,2025-08-13 01:28:59,"",944,863,894,0
"the-book-of-secret-knowledge","A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",https://github.com/trimstray/the-book-of-secret-knowledge,182019,11335,2018-06-23 10:43:14,2025-08-13 02:14:24,"",0,0,319,0
"CS-Notes",":books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计",https://github.com/CyC2018/CS-Notes,181408,51174,2018-02-13 14:56:24,2025-08-13 01:40:27,"",571,448,620,0
"ohmyzsh","🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",https://github.com/ohmyzsh/ohmyzsh,180631,26173,2009-08-28 18:15:37,2025-08-13 02:14:15,"Shell",4959,4819,7700,0
"AutoGPT","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://github.com/Significant-Gravitas/AutoGPT,177718,45937,2023-03-16 09:21:07,2025-08-13 02:19:21,"Python",3371,3214,6023,66
"vscode","Visual Studio Code",https://github.com/microsoft/vscode,175682,34327,2015-09-03 20:23:38,2025-08-13 02:19:20,"TypeScript",204308,192301,42339,175
"bootstrap","The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap,172827,79118,2011-07-29 21:19:00,2025-08-13 01:31:47,"MDX",22749,22343,15684,93
"flutter","Flutter makes it easy and fast to build beautiful apps for mobile and beyond",https://github.com/flutter/flutter,171818,29012,2015-03-06 22:54:58,2025-08-13 01:48:23,"Dart",108560,96668,63733,7
"Python-100-Days","Python - 100天从新手到大师",https://github.com/jackfrued/Python-100-Days,170727,54343,2018-03-01 16:05:52,2025-08-13 02:14:39,"Jupyter Notebook",690,118,369,0
"gitignore","A collection of useful .gitignore templates",https://github.com/github/gitignore,168611,83032,2010-11-08 20:17:14,2025-08-13 01:51:26,"",0,0,4597,0
"the-art-of-command-line","Master the command line, in one page",https://github.com/jlevy/the-art-of-command-line,157764,14744,2015-05-20 15:11:03,2025-08-13 01:26:55,"",258,136,596,0
"stable-diffusion-webui","Stable Diffusion web UI",https://github.com/AUTOMATIC1111/stable-diffusion-webui,155504,28843,2022-08-22 14:05:26,2025-08-13 00:58:39,"Python",7826,5464,3248,27
"JavaGuide","「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！",https://github.com/Snailclimb/JavaGuide,151221,45964,2018-05-07 13:27:00,2025-08-13 01:07:15,"Java",1103,1031,1492,0
"ollama","Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models.",https://github.com/ollama/ollama,150041,12800,2023-06-26 19:39:32,2025-08-13 02:19:24,"Go",7898,6175,3720,141
"awesome-go","A curated list of awesome Go frameworks, libraries and software",https://github.com/avelino/awesome-go,149748,12490,2014-07-06 13:42:15,2025-08-13 02:06:16,"Go",685,679,4893,0
"transformers","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",https://github.com/huggingface/transformers,148240,29993,2018-10-29 13:56:00,2025-08-13 02:18:52,"Python",17755,16671,21793,220
"javascript","JavaScript Style Guide",https://github.com/airbnb/javascript,147260,26778,2012-11-01 23:13:50,2025-08-13 02:09:53,"JavaScript",1363,1266,1654,0
"Microsoft-Activation-Scripts","Open-source Windows and Office activator featuring HWID, Ohook, TSforge, KMS38, and Online KMS activation methods, along with advanced troubleshooting.",https://github.com/massgravel/Microsoft-Activation-Scripts,144360,14039,2020-01-12 23:03:34,2025-08-13 02:20:33,"Batchfile",715,715,45,24
"youtube-dl","Command-line program to download videos from YouTube.com and other video sites",https://github.com/ytdl-org/youtube-dl,136833,10428,2010-10-31 14:35:07,2025-08-13 01:31:49,"Python",26765,23122,4976,341
"next.js","The React Framework",https://github.com/vercel/next.js,133753,29051,2016-10-05 23:32:51,2025-08-13 02:13:31,"JavaScript",23323,20997,31096,1000
"awesome-chatgpt-prompts","This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.",https://github.com/f/awesome-chatgpt-prompts,132431,17569,2022-12-05 13:54:13,2025-08-13 02:04:27,"JavaScript",0,0,714,0
"go","The Go programming language",https://github.com/golang/go,129366,18323,2014-08-19 04:33:40,2025-08-13 01:29:58,"Go",67831,58669,4562,0
"n8n","Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",https://github.com/n8n-io/n8n,129120,39885,2019-06-22 09:24:21,2025-08-13 02:12:06,"TypeScript",4970,4390,13274,376
"fucking-algorithm","刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ",https://github.com/labuladong/fucking-algorithm,128880,23410,2020-02-19 09:01:23,2025-08-12 23:55:53,"Markdown",916,913,504,1
"tech-interview-handbook","💯 Curated coding interview preparation materials for busy software engineers",https://github.com/yangshun/tech-interview-handbook,128457,15636,2016-07-05 05:00:48,2025-08-13 02:12:31,"TypeScript",115,74,570,0
"scrcpy","Display and control your Android device",https://github.com/Genymobile/scrcpy,126462,11838,2017-11-21 18:00:27,2025-08-13 02:20:40,"C",5607,3159,563,47
"30-seconds-of-code","Coding articles to level up your development skills",https://github.com/Chalarangelo/30-seconds-of-code,124886,12287,2017-11-29 17:35:03,2025-08-13 01:07:15,"JavaScript",300,300,1632,12
"HelloGitHub",":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",https://github.com/521xueweihan/HelloGitHub,124801,10638,2016-05-04 06:24:11,2025-08-13 02:01:03,"Python",2837,2627,52,57
"react-native","A framework for building native applications using React",https://github.com/facebook/react-native,123380,24797,2015-01-09 18:10:16,2025-08-13 02:15:59,"C++",27173,26526,24055,409
"yt-dlp","A feature-rich command-line audio/video downloader",https://github.com/yt-dlp/yt-dlp,122207,9721,2020-10-26 04:22:55,2025-08-13 02:03:03,"Python",9705,8094,3988,116
"PowerToys","Windows system utilities to maximize productivity",https://github.com/microsoft/PowerToys,122092,7280,2019-05-01 17:44:02,2025-08-13 01:42:50,"C#",34400,27490,6432,116
"electron",":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",https://github.com/electron/electron,117860,16298,2013-04-12 01:47:36,2025-08-13 02:17:55,"C++",21029,20273,26153,1000
"kubernetes","Production-Grade Container Scheduling and Management",https://github.com/kubernetes/kubernetes,116849,41132,2014-06-06 22:56:04,2025-08-13 01:42:03,"Go",47623,45737,85293,751
